,Date.Disclosed,Project.Name,Project.Number,IFC.Country.Code,Sector,Environmental.Category,Status,Projected.Board.Date,investmen_Loan,investment_approved,year
51,9/7/12,NSL Wind,30596,IND,Wind Power - Renewable Energy Generation,B,Completed,10/8/12,18.8,18.8,2012
52,8/17/12,Parques Eolicos del Caribe S.A.,32227,DOM,Wind Power - Renewable Energy Generation,B,Pending Signing,9/18/12,32,32,2012
53,6/29/12,Reventazon HPP,31383,COS,Large Hydro - Renewable Energy Generation,A,Active,9/27/12,100,100,2012
54,6/22/12,TPI Composites,32296,USA,Wind Power - Renewable Energy Generation,B,Pending Signing,7/24/12,15,23.3,2012
55,6/14/12,Azure Rooftop,32148,IND,Solar - Renewable Energy Generation,C,Active,8/7/12,4.6,4.6,2012
56,4/30/12,Inabensa Bharat,31712,IND,Solar Photovoltaic Equipment,B,Active,5/30/12,14,14,2012
57,4/28/12,RenewGen Debt,32295,SRI,Waste to Energy - Renewable Energy Generation,B,Pending Signing,5/30/12,4,4,2012
58,4/18/12,Sibenik WPP,31606,HRV,Wind Power - Renewable Energy Generation,B,Active,5/21/12,26.44,26.44,2012
59,4/10/12,Abengoa CSP SA,31083,SOU,Solar - Renewable Energy Generation,B,Active,5/31/12,160.54,160.54,2012
60,3/28/12,Butwal Power - 2,31807,NEP,Small Hydro (,B,Completed,5/1/12,2.5,2.5,2012
61,1/20/12,Karadzhalovo SPP,31543,BUL,Solar - Renewable Energy Generation,B,Active,2/20/12,61.97,61.97,2012
62,8/12/11,Mahindra Solar One Private Ltd,30936,IND,Solar - Renewable Energy Generation,B,Completed,9/13/11,5.43,5.43,2011
63,6/30/11,Bhilwara Green Energy Limited,30765,IND,Wind Power - Renewable Energy Generation,B,Active,9/15/11,15,15,2011
64,5/13/11,SPC 4-5,30761,THL,Solar - Renewable Energy Generation,B,Pending Signing,6/13/11,11.91,11.91,2011
65,5/3/11,NSL Power,29912,IND,Wind Power - Renewable Energy Generation,A,Active,7/7/11,0,25,2011
66,4/29/11,Project Name Pending,29846,CHA,Waste to Energy - Renewable Energy Generation,B,Completed,5/30/11,15,25,2011
67,4/11/11,Zorlu Pakistan,29251,PAK,Wind Power - Renewable Energy Generation,B,Active,5/16/11,38.1,38.1,2011
68,4/4/11,Paravani,28985,GEO,Large Hydro - Renewable Energy Generation,A,Active,6/16/11,42.5,42.5,2011
69,3/21/11,Comemsa,30229,MXC,Solar Photovoltaic Equipment,B,Active,4/22/11,24,24,2011
70,3/11/11,Techno Wind,30400,IND,Wind Power - Renewable Energy Generation,B,Active,4/15/11,39.92,54.95,2011
71,3/4/11,Shalivahana,30231,IND,Bio-Mass - Renewable Energy Generation,B,Active,4/15/11,15,30,2011
72,1/12/11,Star Hydropower,26229,PAK,Large Hydro - Renewable Energy Generation,A,Active,5/12/11,60,60,2011
73,11/11/10,La Vegona,28139,HDS,Large Hydro - Renewable Energy Generation,B,Active,12/13/10,30,30,2010
74,11/3/10,Gamesa,29815,IND,Wind Turbine Machinery,B,Active,12/6/10,14.72,14.72,2010
